europeana_id,dcFormat,dctermsExtent,dcPublisher,dcRights,dcSource
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056220,painted; technique de sculpture; peint; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056221,polychromé; cuit[céramique],hauteur: 16.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056227,polychromé; cuit[céramique],hauteur: 13.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056228,technique de sculpture; polychromé; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056229,polychromé; cuit[céramique],hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056230,technique de sculpture; polychromé; cuit[céramique]; ajouré[sculpture],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056234,polychromé; cuit[céramique],hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056235,polychromé; cuit[céramique],hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056236,polychromé; cuit[céramique],hauteur: 18 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056237,polychromé; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056239,enameling technique; polychromé; cuit[céramique]; technique d'émaillage,hauteur: 15 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056241,polychromé; cuit[céramique],hauteur: 11.5 cm; height: 11.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056243,enameling technique; polychromé; cuit[céramique]; technique d'émaillage,hauteur: 13.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056245,polychromé; cuit[céramique],hauteur: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056246,polychromé; cuit[céramique],hauteur: 11.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056247,polychromé; cuit[céramique],hauteur: 9 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056248,polychromé; cuit[céramique],hauteur: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056250,polychromé; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056251,polychromé; cuit[céramique],hauteur: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11056252,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061357,polychromé; cuit[céramique],hauteur: 10 cm  diamètre: 5.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061359,polychromé; cuit[céramique],largeur: 13 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061431,ajouré[sculpture]; cuit[céramique],hauteur: 40 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061447,enameling technique; painted; peint; cuit[céramique]; technique d'émaillage,hauteur: 35 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061460,doré; polychromé; cuit[céramique]; golden,hauteur: 11 cm  diamètre: 13.5 cm; height: 11 cm diameter: 13.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061461,polychromé; cuit[céramique],hauteur: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061462,polychromé; cuit[céramique],hauteur: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061463,polychromé; cuit[céramique],hauteur: 10 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061464,polychromé; cuit[céramique],hauteur: 13 cm  diamètre: 15.5 cm; height: 13 cm diameter: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061465,ajouré[sculpture]; polychromé; cuit[céramique],hauteur: 15 cm  diamètre: 15.5 cm; height: 15 cm diameter: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061466,polychromé; cuit[céramique],hauteur: 10 cm  diamètre: 15 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061467,modelé[technique]; polychromé; cuit[céramique],hauteur: 20 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061468,polychromé; cuit[céramique],hauteur: 16.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061471,polychromé; cuit[céramique],hauteur: 12 cm  diamètre: 14.5 cm; height: 12 cm diameter: 14.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061473,doré; polychromé; cuit[céramique]; golden,hauteur: 11.5 cm  diamètre: 12.5 cm; height: 11.5 cm diameter: 12.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061476,polychromé; cuit[céramique],hauteur: 12.5 cm  diamètre: 14 cm; height: 12.5 cm diameter: 14 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061481,polychromé; cuit[céramique],hauteur: 11.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061490,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061491,polychromé; cuit[céramique],hauteur: 9.6 cm  diamètre: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11061492,polychromé; cuit[céramique],hauteur: 9.6 cm  diamètre: 15.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063048,polychromé; cuit[céramique],hauteur: 34.6 cm  diamètre: 8 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063233,camaine [painting]; painted; camaïeu[peinture]; peint; cuit[céramique],,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063398,enameling technique; polychromé; cuit[céramique]; technique d'émaillage,hauteur: 25 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063515,technique de sculpture; polychromé; cuit[céramique],hauteur: 27.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063517,polychromé; cuit[céramique],hauteur: 27.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063523,polychromé; cuit[céramique],,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11063965,technique de sculpture; polychromé; cuit[céramique],hauteur: 34.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__11064313,polychromé; cuit[céramique],hauteur: 12 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__112790,baking [pottery]; bakken[aardewerk],hoogte: 11.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__112920,baking [pottery]; bakken[aardewerk],Height: 16 cm; hoogte: 16 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__115372,baking [pottery]; bakken[aardewerk],Height: 10 cm; hoogte: 10 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__115373,baking [pottery]; bakken[aardewerk],hoogte: 22.2 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132811,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 13.2 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132828,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 11.8 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132840,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,Height: 11 cm; hoogte: 11 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132849,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 11.4 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132850,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 11.9 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132863,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 12.9 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132875,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 12.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132880,baking [pottery]; bakken[aardewerk],hoogte: 12.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132882,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,Height: 13 cm; hoogte: 13 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132905,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 9.8 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132932,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 12.2 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132933,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,Height: 26.1 cm; hoogte: 26.1 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132935,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 11.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132936,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 12.6 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132938,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 8.4 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132939,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 10.7 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132981,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 8.6 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132982,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 7.5 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132983,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 8.3 cm,,,
/376/photography_ProvidedCHO_Royal_Institute_for_Cultural_Heritage__KIK_IRPA___Brussels__Belgium__KIK_IRPA_n__132984,bakken[aardewerk]; geschilderd; glazuren; glaze; baking [pottery]; painted,hoogte: 10.8 cm,,,
